Eviction ID,Address,City,State,Eviction Notice Source Zipcode,File Date,Non Payment,Breach,Nuisance,Illegal Use,Failure to Sign Renewal,Access Denial,Unapproved Subtenant,Owner Move In,Demolition,Capital Improvement,Substantial Rehab,Ellis Act WithDrawal,Condo Conversion,Roommate Same Unit,Other Cause,Late Payments,Lead Remediation,Development,Good Samaritan Ends,Constraints Date,Supervisor District,Neighborhoods - Analysis Boundaries,Location,Shape,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,DELETE - Neighborhoods,DELETE - Police Districts,DELETE - Supervisor Districts,DELETE - Fire Prevention Districts,DELETE - Zip Codes,"CBD, BID and GBD Boundaries as of 2017",Central Market/Tenderloin Boundary,"Areas of Vulnerability, 2016",Central Market/Tenderloin Boundary Polygon - Updated,Fix It Zones as of 2018-02-07,Neighborhoods
M152880,2000 Block Of 20th  Avenue,San Francisco,CA,94116,10/22/2015,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,12/21/2020,4,Sunset/Parkside,"(37.749530506114965, -122.47721842194127)",POINT (-122.47722 37.74953),39,10,7,35,35,8,3,1,29491,,,1,,,39
M140065,600 Block Of 17th  Avenue,San Francisco,CA,94121,01/13/2014,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,1,Outer Richmond,"(37.77576049530619, -122.47581961832184)",POINT (-122.47582 37.77576),5,8,4,29,26,6,2,11,54,,,1,,,5
M170101,4400 Block Of Irving  Street,San Francisco,CA,94122,01/25/2017,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,4,Sunset/Parkside,"(37.76230870068683, -122.50552336855412)",POINT (-122.50552 37.76231),39,10,7,35,35,8,3,1,56,,,1,,,39
M222138,400 Block Of Eddy  Street,San Francisco,CA,94102,12/12/2022,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,5,Tenderloin,,POINT (-122.41508 37.783627),,,,,,,,,,,,,,,20
M211838,900 Block Of Bush  Street,San Francisco,CA,94109,12/06/2021,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,3,Nob Hill,,POINT (-122.41292 37.78964),,,,,,,,,,,,,,,50
M222033,1000 Block Of Pine  Street,San Francisco,CA,94109,11/14/2022,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,3,Nob Hill,,POINT (-122.4131 37.790573),,,,,,,,,,,,,,,16
M221840,100 Block Of Caine  Avenue,San Francisco,CA,94117,10/18/2022,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,,11,Oceanview/Merced/Ingleside,,POINT (-122.45181 37.715782),,,,,,,,,,,,,,,81
M120930,1900 Block Of Jefferson  Street,San Francisco,CA,94133,06/21/2012,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,2,Marina,,POINT (-122.44464 37.804535),,,,,,,,,,,,,,,17
M221228,400 Block Of Eddy  Street,San Francisco,CA,94102,08/11/2022,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,5,Tenderloin,,POINT (-122.41508 37.783627),,,,,,,,,,,,,,,20
M221006,700 Block Of Bush  Street,San Francisco,CA,94108,07/06/2022,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,3,Nob Hill,,POINT (-122.40962 37.790062),,,,,,,,,,,,,,,16
M220692,1700 Block Of Mission  Street,San Francisco,CA,94115,05/02/2022,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,9,Mission,,POINT (-122.420166 37.769585),,,,,,,,,,,,,,,53
M220284,2000 Block Of Broadway  Street,San Francisco,CA,94123,02/18/2022,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,2,Pacific Heights,,POINT (-122.430824 37.794796),,,,,,,,,,,,,,,102
M220046,100 Block Of San Carlos  Street,San Francisco,CA,94103,01/07/2022,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,,9,Mission,,POINT (-122.42007 37.760994),,,,,,,,,,,,,,,53
M220033,1100 Block Of Pine  Street,San Francisco,CA,94108,01/05/2022,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,,3,Nob Hill,,POINT (-122.41494 37.79034),,,,,,,,,,,,,,,16
M211708,100 Block Of Bartlett  Street,San Francisco,CA,94115,11/12/2021,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,9,Mission,,POINT (-122.41979 37.754574),,,,,,,,,,,,,,,53
M211708,100 Block Of Bartlett  Street,San Francisco,CA,94115,11/12/2021,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,9,Mission,,POINT (-122.41979 37.754574),,,,,,,,,,,,,,,53
M211725,1500 Block Of Mason  Street,San Francisco,CA,94103,11/17/2021,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,,3,Nob Hill,,POINT (-122.412 37.797653),,,,,,,,,,,,,,,107
M211365,1700 Block Of Page  Street,San Francisco,CA,94177,09/16/2021,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,5,Haight Ashbury,,POINT (-122.4496 37.77063),,,,,,,,,,,,,,,25
M210425,400 Block Of Eddy  Street,San Francisco,CA,94102,03/25/2021,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,5,Tenderloin,,POINT (-122.41508 37.783627),,,,,,,,,,,,,,,20
M210425,400 Block Of Eddy  Street,San Francisco,CA,94102,03/25/2021,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,5,Tenderloin,,POINT (-122.41508 37.783627),,,,,,,,,,,,,,,20
M210760,2300 Block Of Market  Street,San Francisco,CA,94114,05/26/2021,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,8,Castro/Upper Market,"(37.76334875868271, -122.43406529044294)",POINT (-122.43407 37.763348),38,3,5,5,3,4,5,15,28862,9,,1,,1,38
M220475,2300 Block Of Larkin  Street,San Francisco,CA,94109,03/25/2022,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,3,Russian Hill,"(37.799436745547766, -122.42078571940706)",POINT (-122.420784 37.79944),107,6,6,32,32,9,1,5,28858,,,1,,,107
M210130,1800 Block Of 19th  Avenue,San Francisco,CA,94122,01/25/2021,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,7,Inner Sunset,"(37.753313179693805, -122.47629415342512)",POINT (-122.476295 37.753315),44,10,8,14,12,8,4,1,56,,,1,,,44
M160083,600 Block Of 04th  Avenue,San Francisco,CA,94118,01/06/2016,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,,1,Inner Richmond,"(37.776399598506615, -122.4618008317172)",POINT (-122.4618 37.776398),5,8,4,11,11,6,2,11,54,,,1,,,5
M140928,100 Block Of Font  Boulevard,San Francisco,CA,94132,04/24/2014,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,7,Lakeshore,"(37.71550144751338, -122.47367196490889)",POINT (-122.47367 37.7155),42,10,8,16,14,8,4,1,64,,,2,,,42
M163078,700 Block Of Natoma  Street,San Francisco,CA,94103,09/23/2016,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,6,South of Market,"(37.77604898668282, -122.41293806056113)",POINT (-122.41294 37.77605),32,1,10,34,34,2,9,8,28853,,1,2,1,,32
M130627,500 Block Of 19th  Avenue,San Francisco,CA,94121,05/06/2013,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,05/03/2016,1,Outer Richmond,"(37.77752610699705, -122.47809971848208)",POINT (-122.478096 37.777527),,8,4,29,26,6,2,11,55,,,1,,,
M210273,1800 Block Of Mission  Street,San Francisco,CA,94103,03/01/2021,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,9,Mission,"(37.76747362808573, -122.4199033737801)",POINT (-122.41991 37.767475),53,3,2,20,19,4,7,8,28853,,,2,,14,53
M163409,500 Block Of Buchanan  Street,San Francisco,CA,94102,10/31/2016,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,5,Hayes Valley,"(37.774623207950135, -122.42758870811366)",POINT (-122.42759 37.774624),22,4,11,9,10,9,11,7,28852,,,1,,,22
M173064,2500 Block Of Post  Street,San Francisco,CA,94115,12/14/2017,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,5,Presidio Heights,"(37.783791917568074, -122.44381608161895)",POINT (-122.44382 37.78379),103,8,11,31,31,6,11,15,29490,,,1,,,103
M141853,5600 Block Of Mission  Road,San Francisco,CA,94112,08/21/2014,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,11,Excelsior,"(37.7105606168937, -122.44802470246078)",POINT (-122.44802 37.71056),66,9,1,7,5,7,6,9,28861,,,2,,,58
M200262,400 Block Of Laguna  Street,San Francisco,CA,94102,02/13/2020,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,,5,Hayes Valley,"(37.774824108101626, -122.42593399360932)",POINT (-122.425934 37.774822),22,4,11,9,10,9,11,7,28852,,,1,,,22
M163415,1700 Block Of Mcallister  Street,San Francisco,CA,94115,10/31/2016,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,,5,Western Addition,"(37.777480028505316, -122.44085255763373)",POINT (-122.44085 37.77748),97,7,11,39,41,5,11,15,29492,,,1,,,97
M211443,600 Block Of Eddy  Street,San Francisco,CA,94109,10/04/2021,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,5,Tenderloin,"(37.78320614694478, -122.41835524067054)",POINT (-122.41836 37.783207),20,5,10,36,36,9,9,7,28852,,1,2,1,,20
M182099,100 Block Of Balboa  Street,San Francisco,CA,94118,07/16/2018,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,1,Inner Richmond,"(37.77740509502251, -122.46026058030291)",POINT (-122.46026 37.777405),5,8,4,11,11,6,2,11,54,,,1,,,5
M130427,1900 Block Of Oak  Street,San Francisco,CA,94117,03/08/2013,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,5,Haight Ashbury,"(37.771355539762695, -122.45142359476833)",POINT (-122.45142 37.771355),24,7,11,3,9,5,11,15,29492,,,1,,25,24
M211751,400 Block Of Gough  Street,San Francisco,CA,94102,11/23/2021,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,5,Hayes Valley,"(37.77711650314495, -122.4230256904598)",POINT (-122.42303 37.777115),22,4,11,9,10,9,11,7,28852,8,,1,,,22
M120938,100 Block Of Clinton  Park,San Francisco,CA,94103,06/22/2012,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,9,Mission,"(37.76921293968567, -122.42339166219891)",POINT (-122.42339 37.769215),37,3,5,20,19,4,5,8,28853,,,2,,,37
M221914,300 Block Of Otsego  Avenue,San Francisco,CA,94112,10/31/2022,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,11,Outer Mission,"(37.723033909376596, -122.44124039045151)",POINT (-122.44124 37.723034),80,9,1,28,25,7,6,9,28861,,,2,,,80
